date,product_category_name,demanda_real,demanda_prevista,erro,erro_absoluto
2018-07-01,construcao_ferramentas_ferramentas,12,4.0,8.0,8.0
2018-08-01,construcao_ferramentas_ferramentas,14,12.0,2.0,2.0
2018-06-01,construcao_ferramentas_iluminacao,44,38.0,6.0,6.0
2018-07-01,construcao_ferramentas_iluminacao,55,44.0,11.0,11.0
2018-08-01,construcao_ferramentas_iluminacao,62,55.0,7.0,7.0
2018-06-01,construcao_ferramentas_jardim,11,16.0,-5.0,5.0
2018-07-01,construcao_ferramentas_jardim,22,11.0,11.0,11.0
2018-08-01,construcao_ferramentas_jardim,23,22.0,1.0,1.0
2018-06-01,construcao_ferramentas_seguranca,16,22.0,-6.0,6.0
2018-07-01,construcao_ferramentas_seguranca,15,16.0,-1.0,1.0
2018-08-01,construcao_ferramentas_seguranca,25,15.0,10.0,10.0
2018-06-01,cool_stuff,103,175.0,-72.0,72.0
2018-07-01,cool_stuff,115,103.0,12.0,12.0
2018-08-01,cool_stuff,119,115.0,4.0,4.0
2018-06-01,dvds_blu_ray,6,7.0,-1.0,1.0
2018-07-01,dvds_blu_ray,1,6.0,-5.0,5.0
2018-08-01,dvds_blu_ray,1,1.0,0.0,0.0
2018-06-01,eletrodomesticos,65,64.0,1.0,1.0
2018-07-01,eletrodomesticos,78,65.0,13.0,13.0
2018-08-01,eletrodomesticos,63,78.0,-15.0,15.0
2018-06-01,eletrodomesticos_2,19,23.0,-4.0,4.0
2018-07-01,eletrodomesticos_2,23,19.0,4.0,4.0
2018-08-01,eletrodomesticos_2,14,23.0,-9.0,9.0
2018-06-01,eletronicos,191,231.0,-40.0,40.0
2018-07-01,eletronicos,151,191.0,-40.0,40.0
2018-08-01,eletronicos,119,151.0,-32.0,32.0
2018-06-01,eletroportateis,49,48.0,1.0,1.0
2018-07-01,eletroportateis,42,49.0,-7.0,7.0
2018-08-01,eletroportateis,23,42.0,-19.0,19.0
2018-06-01,esporte_lazer,419,489.0,-70.0,70.0
2018-07-01,esporte_lazer,460,419.0,41.0,41.0
2018-08-01,esporte_lazer,471,460.0,11.0,11.0
2018-06-01,fashion_bolsas_e_acessorios,87,110.0,-23.0,23.0
2018-07-01,fashion_bolsas_e_acessorios,74,87.0,-13.0,13.0
2018-08-01,fashion_bolsas_e_acessorios,126,74.0,52.0,52.0
2018-06-01,fashion_calcados,10,10.0,0.0,0.0
2018-07-01,fashion_calcados,5,10.0,-5.0,5.0
2018-08-01,fashion_calcados,3,5.0,-2.0,2.0
2018-06-01,fashion_esporte,0,0.0,0.0,0.0
2018-07-01,fashion_esporte,0,0.0,0.0,0.0
2018-08-01,fashion_esporte,1,0.0,1.0,1.0
2018-06-01,fashion_roupa_feminina,0,0.0,0.0,0.0
2018-07-01,fashion_roupa_feminina,0,0.0,0.0,0.0
2018-08-01,fashion_roupa_feminina,3,0.0,3.0,3.0
2018-06-01,fashion_roupa_infanto_juvenil,1,0.0,1.0,1.0
2018-07-01,fashion_roupa_infanto_juvenil,0,1.0,-1.0,1.0
2018-08-01,fashion_roupa_infanto_juvenil,0,0.0,0.0,0.0
2018-06-01,fashion_roupa_masculina,7,1.0,6.0,6.0
2018-07-01,fashion_roupa_masculina,5,7.0,-2.0,2.0
2018-08-01,fashion_roupa_masculina,3,5.0,-2.0,2.0
2018-06-01,fashion_underwear_e_moda_praia,7,6.0,1.0,1.0
2018-07-01,fashion_underwear_e_moda_praia,2,7.0,-5.0,5.0
2018-08-01,fashion_underwear_e_moda_praia,1,2.0,-1.0,1.0
2018-06-01,ferramentas_jardim,184,288.0,-104.0,104.0
2018-07-01,ferramentas_jardim,177,184.0,-7.0,7.0
2018-08-01,ferramentas_jardim,136,177.0,-41.0,41.0
2018-06-01,flores,2,1.0,1.0,1.0
2018-07-01,flores,2,2.0,0.0,0.0
2018-08-01,flores,0,2.0,-2.0,2.0
2018-06-01,fraldas_higiene,7,3.0,4.0,4.0
2018-07-01,fraldas_higiene,3,7.0,-4.0,4.0
2018-08-01,fraldas_higiene,3,3.0,0.0,0.0
2018-06-01,industria_comercio_e_negocios,26,40.0,-14.0,14.0
2018-07-01,industria_comercio_e_negocios,14,26.0,-12.0,12.0
2018-08-01,industria_comercio_e_negocios,10,14.0,-4.0,4.0
2018-06-01,informatica_acessorios,401,453.0,-52.0,52.0
2018-07-01,informatica_acessorios,418,401.0,17.0,17.0
2018-08-01,informatica_acessorios,415,418.0,-3.0,3.0
2018-06-01,instrumentos_musicais,47,61.0,-14.0,14.0
2018-07-01,instrumentos_musicais,36,47.0,-11.0,11.0
2018-08-01,instrumentos_musicais,41,36.0,5.0,5.0
2018-06-01,la_cuisine,0,0.0,0.0,0.0
2018-07-01,la_cuisine,0,0.0,0.0,0.0
2018-08-01,la_cuisine,0,0.0,0.0,0.0
2018-06-01,livros_importados,9,10.0,-1.0,1.0
2018-07-01,livros_importados,7,9.0,-2.0,2.0
2018-08-01,livros_importados,1,7.0,-6.0,6.0
2018-06-01,livros_interesse_geral,38,50.0,-12.0,12.0
2018-07-01,livros_interesse_geral,25,38.0,-13.0,13.0
2018-08-01,livros_interesse_geral,36,25.0,11.0,11.0
2018-06-01,livros_tecnicos,26,55.0,-29.0,29.0
2018-07-01,livros_tecnicos,26,26.0,0.0,0.0
2018-08-01,livros_tecnicos,29,26.0,3.0,3.0
2018-06-01,malas_acessorios,36,49.0,-13.0,13.0
2018-07-01,malas_acessorios,54,36.0,18.0,18.0
2018-08-01,malas_acessorios,64,54.0,10.0,10.0
2018-06-01,market_place,7,14.0,-7.0,7.0
2018-07-01,market_place,4,7.0,-3.0,3.0
2018-08-01,market_place,8,4.0,4.0,4.0
2018-06-01,moveis_colchao_e_estofado,0,0.0,0.0,0.0
2018-07-01,moveis_colchao_e_estofado,1,0.0,1.0,1.0
2018-08-01,moveis_colchao_e_estofado,0,1.0,-1.0,1.0
2018-06-01,moveis_cozinha_area_de_servico_jantar_e_jardim,29,13.0,16.0,16.0
2018-07-01,moveis_cozinha_area_de_servico_jantar_e_jardim,22,29.0,-7.0,7.0
2018-08-01,moveis_cozinha_area_de_servico_jantar_e_jardim,20,22.0,-2.0,2.0
2018-06-01,moveis_decoracao,402,597.0,-195.0,195.0
2018-07-01,moveis_decoracao,436,402.0,34.0,34.0
2018-08-01,moveis_decoracao,430,436.0,-6.0,6.0
2018-06-01,moveis_escritorio,76,104.0,-28.0,28.0
2018-07-01,moveis_escritorio,80,76.0,4.0,4.0
2018-08-01,moveis_escritorio,30,80.0,-50.0,50.0
2018-06-01,moveis_quarto,9,6.0,3.0,3.0
2018-07-01,moveis_quarto,10,9.0,1.0,1.0
2018-08-01,moveis_quarto,12,10.0,2.0,2.0
2018-06-01,moveis_sala,29,16.0,13.0,13.0
2018-07-01,moveis_sala,54,29.0,25.0,25.0
2018-08-01,moveis_sala,40,54.0,-14.0,14.0
2018-06-01,musica,3,5.0,-2.0,2.0
2018-07-01,musica,3,3.0,0.0,0.0
2018-08-01,musica,6,3.0,3.0,3.0
2018-06-01,papelaria,167,130.0,37.0,37.0
2018-07-01,papelaria,190,167.0,23.0,23.0
2018-08-01,papelaria,169,190.0,-21.0,21.0
2018-06-01,pc_gamer,0,0.0,0.0,0.0
2018-07-01,pc_gamer,2,0.0,2.0,2.0
2018-08-01,pc_gamer,1,2.0,-1.0,1.0
2018-06-01,pcs,13,13.0,0.0,0.0
2018-07-01,pcs,8,13.0,-5.0,5.0
2018-08-01,pcs,12,8.0,4.0,4.0
2018-06-01,perfumaria,186,197.0,-11.0,11.0
2018-07-01,perfumaria,199,186.0,13.0,13.0
2018-08-01,perfumaria,218,199.0,19.0,19.0
2018-06-01,pet_shop,178,136.0,42.0,42.0
2018-07-01,pet_shop,158,178.0,-20.0,20.0
2018-08-01,pet_shop,198,158.0,40.0,40.0
2018-06-01,portateis_casa_forno_e_cafe,3,9.0,-6.0,6.0
2018-07-01,portateis_casa_forno_e_cafe,15,3.0,12.0,12.0
2018-08-01,portateis_casa_forno_e_cafe,17,15.0,2.0,2.0
2018-06-01,portateis_cozinha_e_preparadores_de_alimentos,0,2.0,-2.0,2.0
2018-07-01,portateis_cozinha_e_preparadores_de_alimentos,8,0.0,8.0,8.0
2018-08-01,portateis_cozinha_e_preparadores_de_alimentos,4,8.0,-4.0,4.0
2018-06-01,relogios_presentes,477,625.0,-148.0,148.0
2018-07-01,relogios_presentes,521,477.0,44.0,44.0
2018-08-01,relogios_presentes,411,521.0,-110.0,110.0
2018-06-01,seguros_e_servicos,0,0.0,0.0,0.0
2018-07-01,seguros_e_servicos,0,0.0,0.0,0.0
2018-08-01,seguros_e_servicos,0,0.0,0.0,0.0
2018-06-01,sinalizacao_e_seguranca,27,7.0,20.0,20.0
2018-07-01,sinalizacao_e_seguranca,29,27.0,2.0,2.0
2018-08-01,sinalizacao_e_seguranca,22,29.0,-7.0,7.0
2018-06-01,tablets_impressao_imagem,1,1.0,0.0,0.0
2018-07-01,tablets_impressao_imagem,0,1.0,-1.0,1.0
2018-08-01,tablets_impressao_imagem,0,0.0,0.0,0.0
2018-06-01,telefonia,216,250.0,-34.0,34.0
2018-07-01,telefonia,221,216.0,5.0,5.0
2018-08-01,telefonia,271,221.0,50.0,50.0
2018-06-01,telefonia_fixa,17,16.0,1.0,1.0
2018-07-01,telefonia_fixa,11,17.0,-6.0,6.0
2018-08-01,telefonia_fixa,10,11.0,-1.0,1.0
2018-06-01,utilidades_domesticas,577,618.0,-41.0,41.0
2018-07-01,utilidades_domesticas,564,577.0,-13.0,13.0
2018-08-01,utilidades_domesticas,616,564.0,52.0,52.0
